层级,编号,指标,公式/定义,变量说明,测量方法,测试场景,判定/预期,Kata,Kbox,来源,备注,依赖,论文处置,支撑论点,文献支撑状态,文献详情,补搜说明,指标类型,服务结论,ECS适配,ECS测量方法,ECS数据来源,ECS夜跑窗口
L2 业务任务,L2-4,交互延迟预算,操作→反馈应<20ms,体验阈值(SAIL标定),主观MOS+客观L2-3,业务运行 — 商城 GUI 链路（E3）,业务场景（GUI 链路）：延迟 <20ms 记为达标（云交互体验阈值，源自 SAIL）；统计达标率,✅,✅,[13],,,附录（完整数据表）,论点2 支撑,⚠️单篇,[13]SAIL 云游戏感知质量码率控制(arXiv:2607.11231)(清华),20ms阈值来源单篇,对标结论型（Kata vs Kbox）,B 业务可用,可测(需打点),点击→画面变化 时长分布（p50/p95），对齐 20ms 预算口径,夜跑 metrics.jsonl,每窗
L2 业务任务,L2-5,API vs GUI链路差,Ratio = T_api/T_gui,API耗时/GUI耗时,双链路分别测,业务运行 — API 与 GUI 双链路（E3）,业务场景（双链路）：比值 T_api/T_gui <1（API 更快）；比值大小 = GUI 自动化相对 API 的额外开销,✅,✅,[2][23],,,附录（完整数据表）,论点2 支撑,⚠️部分,[2]用户《鲲鹏920对比测试落地指南》(G1)(内部文档) | [23]AppSim-Bench: Bridging Real-world Apps a(华中师大+Acrab),补:AppSim-Bench方法学；商城独有维度,对标结论型（Kata vs Kbox）,B 业务可用,可测(需打点),商城 API 链路 vs GUI 链路 端到端耗时比 T_api/T_gui,商城双链路脚本,专项窗
L2 业务任务,L2-6,长程完成率,N_completed/N_started×100%,完整流程/启动数,浏览→加购→结算→下单全流程,业务运行 — 商城长程任务（E3）,业务场景：多步复合任务（浏览→加购→结算→下单）完整走通率；预期 Kata ≥ Kbox,✅,✅,[12],,,附录（完整数据表）,论点2 支撑,✅充足,[12]Android Coach 在线Agent训练(arXiv:2604.07277(学术界),,对标结论型（Kata vs Kbox）,B 业务可用,可测(已有),连续多局/长程任务完成率（N_completed/N_started）,夜跑 CSV,每窗
L2 业务任务,L2-7,子目标通过率SGA,SGA = Σ(已完成子目标数 / 任务子目标总数) / 任务数 × 100%,子目标=任务分解步骤（如 开App→搜索→加购→结算→下单 共5步）；先算每任务完成比例，再对任务取平均,预先定义各任务子目标；逐步骤判定（后端订单/截图），与 SR 同批采集,业务运行（E3）,业务场景：SGA 越高 = 任务推进越深入（即使最终未成功）；用于定位「卡在第几步」；预期 Kata ≥ Kbox,✅,✅,[28],SR 的细粒度补充，定位失败环节,子目标定义表,附录（完整数据表）,论点2 业务可用,🟢充足,[28]AndroidLab 基准（SR/SGA/UI识别准确率/单任务时间 四项标准指标）,依据 AgentOS 方案指定的 AndroidLab 基准补入,对标结论型（Kata vs Kbox）,B 业务可用,可测(需打点),子目标：进桌/读牌正确/决策成功/出牌合法/结算识别 逐项记,夜跑 metrics.jsonl,每窗
L2 业务任务,L2-8,UI识别准确率,UI_acc = 正确识别控件数 / 标注控件总数 × 100%,标注控件 = 人工标注的界面元素（按钮/输入框）及类型；正确 = 类型与位置均匹配,固定界面截图集（N 张）→ GUI Agent 解析 → 与人工标注比对,GUI 链路（E3 配套）,准确率越低 = 界面解析质量越差；两组用同一 Agent 框架，差异应来自截图/渲染质量（Kata 软件渲染可能影响清晰度）→ 预期接近，差异需归因,✅,✅,[28][29],同 Agent 框架下，差异反映渲染/截图质量,标注截图集,附录（完整数据表）,论点2 业务可用,🟢充足,[28]AndroidLab | [29]SPA-Bench（UI识别准确率/设备适配率）,依据 AgentOS 方案指定的 AndroidLab / SPA-Bench 基准补入,对标结论型（Kata vs Kbox）,B 业务可用,可测(已有真值),读牌抽验：VLM 读数 vs 真值基准（掼蛋 27 张基准）准确率,抽验脚本+夜跑日志,每窗抽验
L3 性能,L3-1,实例启动耗时,T_start = T_ready − T_submit,T_submit=下发指令；T_ready=安卓可执行任务,Edera同口径:完整启动；每次新建；5次均值±SE,空载冷启动（E4）,空载冷启动：从下发创建到安卓可接受任务的完整时长（Edera 同口径，每次新建）；预期 Kata > Kbox（独立内核需引导 guest）；参照已发表基线 Docker 381 / Kata 1913 / FC 2421 ms,✅,✅,[14][15],,,主结果（正文图表）,论点3 性能代价,✅充足,[14]Edera Goldilocks 高性能VM(arXiv:2501.04580)(Edera公司) | [15]Firecracker 轻量虚拟化(NSDI 2020)(AWS/CCF-A顶会),,对标结论型（Kata vs Kbox）,C 性能代价,可测,docker start → adb ready 计时，5 次均值±SE,启动计时脚本,专项窗
L3 性能,L3-2,冷启动三阶段,T_cold = T_create+T_start+T_bringup,create=容器创建；start=进程启动；bringup=安卓就绪,分阶段打点(EBCC法),空载冷启动（E4）,空载冷启动：分解 create/start/bringup 三段耗时，用于定位 L3-1 的差异来自哪一段（Kbox 共享内核可省去 guest 引导）,✅,✅,[16],,,附录（完整数据表）,论点3 支撑,✅充足,[16]EBCC Enclave机密容器(arXiv:2605.13676)(西安电子科大),,对标结论型（Kata vs Kbox）,C 性能代价,可测,三阶段打点：容器 create / 系统 boot(adb 可用) / App 可交互(截图判定),启动计时脚本,专项窗
L3 性能,L3-3,冷vs热复用,加速比 = T_cold/T_warm,全新实例/快照恢复,两模式分别测,冷启动 vs 快照恢复（E4）,冷启动 vs 快照恢复：加速比 = T_cold/T_warm；预期两组热复用均显著快于冷启动，并对比二者加速比差异,✅,✅,[14][8],,,附录（完整数据表）,论点3 支撑,✅充足,[14]Edera Goldilocks 高性能VM(arXiv:2501.04580)(Edera公司) | [8]dstack-capsule Pod远程证明(arXiv:2606.03323)(OPPO+Phala),,对标结论型（Kata vs Kbox）,C 性能代价,可测,冷启动 vs 热恢复（已有实例重开页面）加速比,启动计时脚本,专项窗
L3 性能,L3-4,CPU性能,sysbench events/s,统一vCPU数,Edera同款基准,空载单实例（E1）,空载单实例：统一 vCPU 下 sysbench events/s，反映纯算力；预期 Kata 略低（VM 开销），差异 <5% 记为无实质差异,✅,✅,[14][1],,,附录（完整数据表）,论点3 支撑,✅充足,[14]Edera Goldilocks 高性能VM(arXiv:2501.04580)(Edera公司) | [1]Cluster Computing 2022 — RunC/gVisor/Kat(Springer期刊(CCF-C)),,对标结论型（Kata vs Kbox）,C 性能代价,可测,sysbench cpu（容器内）events/s,基准脚本,专项窗
L3 性能,L3-5,syscall开销,perf bench ops/s与延迟,fork/execve/getpgid,perf-bench,空载单实例（E1）,空载单实例：perf bench fork/execve 延迟；Kbox 内核直通路径短，Kata 每次需 VM exit → 预期 Kbox < Kata,✅,✅,[14],,,附录（完整数据表）,论点3 支撑,✅充足,[14]Edera Goldilocks 高性能VM(arXiv:2501.04580)(Edera公司),,对标结论型（Kata vs Kbox）,C 性能代价,可测,perf bench syscall ops/s 与延迟,基准脚本,专项窗
L3 性能,L3-6,真实负载,kcbench/nginx耗时,内核编译/HTTP,统一配置,空载单实例（E1）,空载单实例：kcbench/nginx 等真实负载耗时；预期 Kata 略高于 Kbox（隔离层开销）,✅,✅,[14],,,附录（完整数据表）,论点3 支撑,✅充足,[14]Edera Goldilocks 高性能VM(arXiv:2501.04580)(Edera公司),,对标结论型（Kata vs Kbox）,C 性能代价,可测,kcbench / nginx 编译基准（统一配置）,基准脚本,专项窗
L3 性能,L3-7,资源利用率,CPU_instance/CPU_node×100%,实例/节点,kubectl top,并发运行（E2）,并发运行：实例实际占用 / 节点容量的比例；Kata 因隔离层开销预期略高（隔离的代价）,✅,✅,[2][8],,,附录（完整数据表）,论点3 支撑,✅充足,[2]用户《鲲鹏920对比测试落地指南》(G1)(内部文档) | [8]dstack-capsule Pod远程证明(arXiv:2606.03323)(OPPO+Phala),,对标结论型（Kata vs Kbox）,C 性能代价,可测,docker stats / cgroup CPU 使用 ÷ 节点配额,夜跑采集,每窗
L3 性能,L3-8,并发成功率,N_success/N_total×100%,100/200并发,压测商城T3,并发 100/200（E2）,并发 100/200：大批量任务下发下的完成率；预期 Kata >99%、Kbox <90%（G1 预设，待实测）,✅,✅,[2][1][4],,,主结果（正文图表）,论点3 性能代价,✅充足,[2]用户《鲲鹏920对比测试落地指南》(G1)(内部文档) | [1]Cluster Computing 2022 — RunC/gVisor/Kat(Springer期刊(CCF-C)) | [4]IEEE 2025 — RunC/gVisor/Kata 抗 DoS 分析(IEEE会议),,对标结论型（Kata vs Kbox）,C 性能代价,改口径,并发 1→2（→4）实例同时跑游戏任务的成功率（非 100/200）,双实例窗口,专项窗
L3 性能,L3-9,网络资源利用率,吞吐/带宽占用,iperf3,网络基准,并发运行（E2）,并发运行：iperf3 吞吐 / 带宽占用；对比两组网络栈效率（Kata 经虚拟网卡、Kbox 共享宿主栈）,✅,✅,[20],,,附录（完整数据表）,论点3 支撑,✅充足,[20]Joyride: Rethinking Linux's network stac(Penn State),补:Joyride每核吞吐/饱和核数基线,对标结论型（Kata vs Kbox）,C 性能代价,可测,iperf3 / 容器网络吞吐 ÷ 带宽,基准脚本,专项窗
L3 性能,L3-10,故障恢复,T_recovery = T_ready_after − T_kill,恢复时刻−故障时刻,杀进程计时,故障注入（杀进程后恢复）（E4 后）,故障注入（杀进程后恢复）：到恢复可服务的时长；预期 Kata 慢（需重启/重建 VM）、Kbox 快（重启容器即可）,✅,✅,[25][16],,,讨论（讨论/威胁模型章节）,论点3 支撑,🔴仍缺,[25]Femto-Containers: Lightweight Virtualiza(Inria+柏林自由大) | [16]EBCC Enclave机密容器(arXiv:2605.13676)(西安电子科大),无对口文献；建议复用冷启动[16]或降级,对标结论型（Kata vs Kbox）,C 性能代价,可测(已有),故障恢复：杀进程/断 adb → 恢复可用耗时（= 看门狗恢复耗时）,夜跑日志（现成）,每窗
L4 稳定性,L4-1,72h异常率,N_abnormal/N_total×100%,72h异常重启数/总数,K8s事件日志；100实例72h,长期压测 72h（E5）,长期压测 72h：异常重启/崩溃实例占比；预期 Kata <1%、Kbox >10%（G1 预设，待实测）,✅,✅,[2][17],,,附录（完整数据表）,稳定性,✅充足,[2]用户《鲲鹏920对比测试落地指南》(G1)(内部文档) | [17]MDPI 2023 安全容器文件I/O(Applied Sciences)(韩国庆北国立),,对标结论型（Kata vs Kbox）,D 长期稳定,改口径,夜跑异常率：重开/看门狗触发 占比（按窗或按局），多夜累计替代 100 实例×72h,夜跑日志（现成）,每窗
L4 稳定性,L4-2,任务中断率,N_interrupted/N_total×100%,中断任务/总任务,应用日志,长期压测 72h（E5）,长期压测 72h：任务无故中断比例；预期 Kata < Kbox（共享内核的故障会跨实例传播）,✅,✅,[2][17],,,附录（完整数据表）,稳定性,✅充足,[2]用户《鲲鹏920对比测试落地指南》(G1)(内部文档) | [17]MDPI 2023 安全容器文件I/O(Applied Sciences)(韩国庆北国立),,对标结论型（Kata vs Kbox）,D 长期稳定,可测(已有),任务中断率：局中断数/总局数（连续无故障时长）,夜跑 CSV,每窗
M1 镜像兼容率,M1-1,兼容覆盖率C_r,C_r = N_supported/N_total,成功运行数/测试总数,镜像集逐个装:通用AOSP/商城APK/第三方APK/多版本,换镜像集逐个试（E6）,换镜像集逐个试：成功运行数 / 测试总数；预期 Kata ≈1.0（标准 OCI 镜像通用）、Kbox <1（需华为定制镜像，第三方镜像难接入）,✅,✅,[18],,,主结果（正文图表）,论点4 通用性,✅充足,[18]CIR: Lightweight Container Image for Cro(中科院计算所),⭐补:CIR单镜像跨4平台(-95%体积),对标结论型（Kata vs Kbox）,E 生态通用,可测,镜像逐个装：our-redroid / 通用 AOSP / 带 APK 镜像 → 可用数/总数,镜像批量脚本,专项窗
M1 镜像兼容率,M1-2,平均适配耗时T_s,T_s = Σ(T_i)/N,各镜像适配耗时均值,下发→安卓就绪计时,换镜像集逐个试（E6）,换镜像集逐个试：从下发到安卓就绪的平均适配耗时；预期 Kata 短（通用镜像直接用）、Kbox 长（需定制/转换）,✅,✅,[18],,,主结果（正文图表）,论点4 通用性,✅充足,[18]CIR: Lightweight Container Image for Cro(中科院计算所),⭐补:CIR构建-76~86%,对标结论型（Kata vs Kbox）,E 生态通用,可测,下发 → 安卓就绪（adb ready）平均耗时,镜像批量脚本,专项窗
M1 镜像兼容率,M1-3,镜像兼容率(合成),C_r × (1/T_s),综合,计算,换镜像集逐个试（E6）,不建议合成：C_r 与 T_s 量纲不同、合成公式无文献出处；分列报告两项，避免审稿人质疑定义来源,✅,✅,[18]自研,,,附录（完整数据表）,论点4 支撑,⚠️自研,[18]CIR: Lightweight Container Image for Cro(中科院计算所),建议分列报告C_r/T_s，不合成,对标结论型（Kata vs Kbox）,E 生态通用,改口径,按原文档「不合成」：分列报告 C_r 与 T_s，不做 C_r×(1/T_s),同 M1-1/2,专项窗
E7 设备身份隔离,E7-1a,默认态指纹差异,起N实例【不配置】直接采集,Android ID/MAC/Build/序列号/proc,采集对比,空载多实例采集，不配置（E7）,空载多实例、不做任何配置：采集各实例 Android ID/MAC/Build 等指纹；Kata 各实例天然不同（独立虚拟硬件）；Kbox 趋同 = 共享内核默认泄漏（发现点）、不趋同 = 已默认隔离,✅,✅,[3][21][19],,,主结果（正文图表）,论点2 身份隔离,🟡部分,[3]华为 Kbox 官方文档(白皮书+407页特性+验收测试)(hikunpeng.com) | [21]Condroid: Container-Based Virtualization(浙江大学) | [19]Multitenant Containers as a Service(arXi(Sorbonne/NYU),补:Condroid虚拟设备+CaaS租户身份；缺指纹级专文,对标结论型（Kata vs Kbox）,F 身份隔离,可测,起 2 实例不配置，采集指纹项逐一对比,指纹采集脚本,专项窗
E7 设备身份隔离,E7-1b,配置态可配置率,可配置指纹项/总项,setprop生效验证,官方Mock命令配置,配置测试（官方 setprop）（E7）,配置测试：用官方 setprop/Mock 给实例配置不同指纹，验证是否 per-instance 生效；生效记 1，验证 Mock 粒度,✅,✅,[3][21],,,附录（完整数据表）,内部/基线,🟡部分,[3]华为 Kbox 官方文档(白皮书+407页特性+验收测试)(hikunpeng.com) | [21]Condroid: Container-Based Virtualization(浙江大学),补:Condroid虚拟设备(namespace-aware),对标结论型（Kata vs Kbox）,F 身份隔离,可测,逐项 setprop 配置成功数 / 总项数,指纹采集脚本,专项窗
E7 设备身份隔离,E7-2,指纹差异度,D = N_diff/N_total_items,不同项/总项,默认态+配置态分别算,默认态 + 配置态分别采集（E7）,默认态与配置态分别计算 D = 不同指纹项数 / 总项数，并比较两态差异（配置能否有效拉开指纹）,✅,✅,[3][21],,,附录（完整数据表）,内部/基线,🟡部分,[3]华为 Kbox 官方文档(白皮书+407页特性+验收测试)(hikunpeng.com) | [21]Condroid: Container-Based Virtualization(浙江大学),补:Condroid,对标结论型（Kata vs Kbox）,F 身份隔离,可测,D = 默认态+配置态 差异项 / 总项,指纹采集脚本,专项窗
E7 设备身份隔离,E7-3,配置隔离性,实例A改指纹→查实例B,影响传播,A配置后查B,A 改指纹后查 B（E7）,实例 A 修改自身指纹后，检查实例 B 是否受影响；预期 Kata 不影响（VM 级隔离）、Kbox 理论可影响（共享内核）,✅,✅,[3][19],,,附录（完整数据表）,内部/基线,🟡部分,[3]华为 Kbox 官方文档(白皮书+407页特性+验收测试)(hikunpeng.com) | [19]Multitenant Containers as a Service(arXi(Sorbonne/NYU),补:CaaS RBAC作用域隔离,对标结论型（Kata vs Kbox）,F 身份隔离,可测,A 改指纹后查 B 是否跟随（应为否）,指纹采集脚本,专项窗
E7 设备身份隔离,E7-4,泄漏通道,Mock覆盖不到通道探测,/proc/cpuinfo/cmdline/共享设备节点,底层通道探测,底层通道探测（/proc 等）（E7）,底层通道探测（/proc/cpuinfo、内核版本、共享设备节点）：这些是 Mock 抹不掉的通道；预期 Kata 探测不到、Kbox 可探测到（架构必然）,✅,✅,[3][21],,,主结果（正文图表）,论点2 身份隔离,🟡部分,[3]华为 Kbox 官方文档(白皮书+407页特性+验收测试)(hikunpeng.com) | [21]Condroid: Container-Based Virtualization(浙江大学),补:Condroid虚拟设备泄漏面,对标结论型（Kata vs Kbox）,F 身份隔离,可测,/proc 等底层通道探测（Mock 覆盖不到的）,指纹采集脚本,专项窗
真实 App 补充指标,R3,真实业务成功率 SR,N_biz_ok/N_attempt×100%,完成业务/总尝试,登录后跑业务，状态校验,真实 App 业务运行（E8）,真实 App 场景：任务完成率，按「结果验证」（非轨迹验证）判定，与 AndroidWorld/AppSim-Bench 方法学对齐,✅,✅,[23][11],🟡中,账号,主结果（正文图表）,真实App验证,⚠️部分,[23]AppSim-Bench: Bridging Real-world Apps a(华中师大+Acrab) | [11]MobileWorldSafety GUI Agent安全基准(arXiv:26(学术界),补:AppSim-Bench结果验证方法学,对标结论型（Kata vs Kbox）,G 真实App,可测,真实业务成功率：登录后跑业务并校验状态（现阶段开源App）,夜跑 CSV,每窗
